ts,Valve,Occp,RaHumidity,RaTemp,SaTemp,ThermEnergy,main_temp,main_humidity,wind_speed,clouds_all,hour,minute,dayofweek,month,is_weekend,hour_sin,hour_cos,minute_sin,minute_cos,delta_supply_return,delta_outdoor_indoor,delta_humidity,Valve_lag_1,RaTemp_lag_1,SaTemp_lag_1,RaHumidity_lag_1,RaTemp_diff_1,RaTemp_pct_1,ThermEnergy_diff_1,Valve_change_1
2024-09-11 07:40:00,0.0,0,76.8594,19.9,19.2,0.0,18.9,78.0,0.5,0.0,7,40,2,9,0,0.9659258262890683,-0.25881904510252063,-0.8660254037844384,-0.5000000000000004,-0.6999999999999993,-1.0,1.1406000000000063,0.0,20.9,18.9,76.83439,-1.0,-0.04784688995215314,0.0,0.0
2024-09-11 07:45:00,42.960938,1,77.678345,20.0,19.2,5.708211913,18.4,78.0,1.1,2.0,7,45,2,9,0,0.9659258262890683,-0.25881904510252063,-1.0,-1.8369701987210297e-16,-0.8000000000000007,-1.6000000000000014,0.3216550000000069,0.0,19.9,19.2,76.8594,0.10000000000000142,0.005025125628140836,5.708211913,42.960938
2024-09-11 07:50:00,60.65625,1,76.83439,21.300001,18.5,7.689311466,18.4,78.0,1.1,2.0,7,50,2,9,0,0.9659258262890683,-0.25881904510252063,-0.8660254037844386,0.5000000000000001,-2.8000010000000017,-2.900001000000003,1.165610000000001,42.960938,20.0,19.2,77.678345,1.3000010000000017,0.06500005000000009,1.981099553,17.695312
2024-09-11 07:55:00,59.046875,1,76.75936,21.2,17.7,7.549012659,17.4,82.0,0.6,2.0,7,55,2,9,0,0.9659258262890683,-0.25881904510252063,-0.49999999999999967,0.8660254037844388,-3.5,-3.8000000000000007,5.240639999999999,60.65625,21.300001,18.5,76.83439,-0.10000100000000245,-0.004694882408691092,-0.14029880700000064,-1.609375
2024-09-11 08:00:00,61.8125,1,77.05944,19.6,18.4,7.498234549,17.4,82.0,0.6,2.0,8,0,2,9,0,0.8660254037844387,-0.4999999999999998,0.0,1.0,-1.2000000000000028,-2.200000000000003,4.940560000000005,59.046875,21.2,17.7,76.75936,-1.5999999999999979,-0.07547169811320742,-0.05077810999999954,2.765625
2024-09-11 08:05:00,58.5625,1,77.15634,20.7,17.800001,7.217263178,17.4,82.0,0.6,2.0,8,5,2,9,0,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,-2.8999989999999976,-3.3000000000000007,4.84366,61.8125,19.6,18.4,77.05944,1.0999999999999979,0.05612244897959173,-0.2809713710000006,-3.25
2024-09-11 08:10:00,56.484375,1,77.556435,19.5,17.7,7.046873524,17.0,82.0,0.6,0.0,8,10,2,9,0,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001,-1.8000000000000007,-2.5,4.443565000000007,58.5625,20.7,17.800001,77.15634,-1.1999999999999993,-0.05797101449275355,-0.17038965399999917,-2.078125
2024-09-11 08:15:00,59.9375,1,77.678345,20.9,18.4,7.549012659,16.9,85.0,0.6,0.0,8,15,2,9,0,0.8660254037844387,-0.4999999999999998,1.0,2.83276944882399e-16,-2.5,-4.0,7.321655000000007,56.484375,19.5,17.7,77.556435,1.3999999999999986,0.07179487179487176,0.5021391349999993,3.453125
2024-09-11 08:20:00,58.695312,1,77.75336,19.6,18.300001,6.975032591,16.9,85.0,0.6,0.0,8,20,2,9,0,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,-1.2999989999999997,-2.700000000000003,7.246639999999999,59.9375,20.9,18.4,77.678345,-1.2999999999999972,-0.062200956937798924,-0.573980068,-1.2421879999999987
2024-09-11 08:25:00,54.34375,1,77.928406,20.9,17.4,6.739196048,16.9,85.0,0.6,0.0,8,25,2,9,0,0.8660254037844387,-0.4999999999999998,0.49999999999999994,-0.8660254037844387,-3.5,-4.0,7.071594000000005,58.695312,19.6,18.300001,77.75336,1.2999999999999972,0.0663265306122447,-0.23583654299999957,-4.351562000000001
